Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 173899;CIE 08867;;ET2 Cm 2.0123;;;;;;;;;;;;;;
TM 145617;CIE 08868;ET1 Cm 2.0006;ET2 Cm 2.0006;;;;;;;;;;;;;;
;CIE 08869;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
TM 145591;CIE 08870;ET1 OB 2.0001;ET2 Cm 2.0087;;;;;;;;;CII Suppl. III.0408;;;;;
TM 153984;CIE 08871;ET1 OA 2.0067;ET2 Cm 2.0090;;;;;;;;;CII Suppl. III.0407;;;;;
;CIE 08872;;;;;;;;;;;;;;Considered a forgery based on CIE 08716 (see CIE).;;
TM 153944;CIE 08873;ET1 OA 2.0027;ET2 Cm 2.0109;;;;;;;;CII 2842;CII Suppl. III.0412;;;;;
TM 153956;CIE 08874;ET1 OA 2.0039;ET2 Cm 2.0110;;;;;;;;;CII Suppl. III.0413;;;;;
TM 145676;CIE 08875;ET1 Cm 2.0065;ET2 Cm 2.0065;TLE 0008;;;;;;;;CII Suppl. III.0406;;;;;
TM 153977;CIE 08876;ET1 OA 2.0060;ET2 Cm 2.0116;;;;;;;;;CII Suppl. III.0411;;;;;
TM 145688;CIE 08877;ET1 Cm 2.0077;ET2 Cm 2.0077;;;;;;;;;;;;;;
TM 145671;CIE 08878;ET1 Cm 2.0060;ET2 Cm 2.0060;TLE 0019;;;;;;;;CII Suppl. I.0519;CII App. 0850;;;;
TM 173906;CIE 08879;;ET2 Cm 2.0130;;;;;;;;;;;;;;
TM 145698;CIE 08880;ET1 Cm 6.0002;ET2 Cm 6.0002;;;;;;;;;;;;;;
TM 829227;CIE 08881;;;TLE 0025;Bakkum 0385;;;;;;;;;Multiple references. Common denominator: CIE. TLE. Bakkum. (2);;"CIE Burman; TLE Bakkum";"v 1.0.2: added Bakkum reference; updated “multiple references” field. "
TM 173971;CIE 08881;;ET2 Fa 0.0010;TLE 0025;Bakkum 0385;;;;;;;;;Multiple references. Common denominator: CIE. TLE. Bakkum. (2);;Bakkum Burman;v 1.0.2: added TLE reference. Updated “multiple references” field.
TM 173972;CIE 08882;;ET2 Fa 0.0012;;;;;;;;;;;;;;
TM 145747;CIE 08883;ET1 Fa 2.0017;ET2 Fa 2.0017;;;;;;;;;;;;;;
TM 154101;CIE 08884;ET1 OI S.0003 ;ET2 OI S.0003 ;;;;;;;;CII 2477;;;;;"CIE Burman; CII Rix & Meiser";
TM 145762;CIE 08885;ET1 Fa 6.0003;ET2 Fa 6.0003;TLE 0278;Bakkum XLVII;;;;;;;;;;;;
TM 145726;CIE 08886;ET1 La S.0007;;;;;;;;;;;;;"Considered a forgery (see CIE); excluded from ET2.";;
TM 145755;CIE 08887;ET1 Fa 2.0025;ET2 Fa 2.0025;;Bakkum XLV;;;;;;;;;;;;
TM 145587;CIE 08888;ET1 OA 0.0001;ET2 Fa 0.0011;;;;;;;;;;;;;;
TM 173967;CIE 08889;;ET2 Fa 2.0033;;;;;;;;;;;;;;
TM 173977;CIE 08890;;ET2 Fa 0.0017;;;;;;;;;;;;;;
TM 145775;CIE 08891;ET1 Fa S.0002;ET2 Fa S.0002;TLE 0755;Bakkum XXVIII;;;;;;;;;;;;
TM 145357;CIE 08892;ET1 Fa G.0001;ET2 Fa G.0001;;Bakkum XXV;;;;;;;;;;;CIE Burman;
TM 145352;CIE 08893;ET1 Fa 7.0001 a;ET2 Fa 7.0001 a;;Bakkum L;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
TM 145352;CIE 08893;ET1 Fa 7.0001 b;ET2 Fa 7.0001 b;;Bakkum LI;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
TM 154032;CIE 08894;ET1 OB 4.0003;ET2 Fa 4.0001;;;;;;;;;;;;;;
;CIE 08895;;;;;;;;;;;;;;Five characters.;;
TM 145356;CIE 08896;ET1 Fa S.0001;ET2 Fa S.0001;;Bakkum XXVII;;;;;;;;;;;;
;CIE 08897;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
;CIE 08898;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
TM 173963;CIE 08899;;ET2 Fa 2.0029;;;;;;;;;;;;;;
TM 173965;CIE 08900;;ET2 Fa 2.0031;;;;;;;;;;;;;;
TM 145744;CIE 08901;ET1 Fa 2.0014;ET2 Fa 2.0014;TLE 0030;Bakkum XVII;;;;;;;;;;;;
TM 173970;CIE 08902;;ET2 Fa 3.0006;;;;;;;;;;;;;;
;CIE 08903;;;;;;;;;;;;;;One character. ;;
TM 145742;CIE 08904;ET1 Fa 2.0012;ET2 Fa 2.0012;;;;;;;;;;;;;;
TM 173962;CIE 08905;;ET2 Fa 2.0028;;;;;;;;;;;;;;
TM 173969;CIE 08906;;ET2 Fa 3.0005;;;;;;;;;;;;;;
TM 145776;CIE 08907;ET1 Fa S.0003;ET2 Fa S.0003;;Bakkum XXXIII;;;;;;CII 0483;;;;;CII Burman;
;CIE 08908;;;;;;;;;;;;;;One character. ;;
;CIE 08909;;;;;;;;;;;;;;One character. ;;
;CIE 08910;;;;;;;;;;;;;;One character. ;;
;CIE 08911;;;;;;;;;;;;;;One character. ;;
TM 145746;CIE 08912;ET1 Fa 2.0016;ET2 Fa 2.0016;TLE 0031;Bakkum XL;;;;;;;;;;;;
;CIE 08913;;;;;;;;;;;;;;One character. ;;
;CIE 08914;;;;;;;;;;;;;;One character. ;;
;CIE 08915;;;;;;;;;;;;;;Two characters.;;
;CIE 08916;;;;;;;;;;;;;;No proper reading given (see CIE).;;
TM 173974;CIE 08917;;ET2 Fa 0.0014;;;;;;;;;;;;;;
TM 154082;CIE 08918;ET1 OI 0.0021;ET2 Fa 4.0002;TLE 0747;;;;;;;;;;;;;
TM 145771;CIE 08919;ET1 Fa 0.0008;ET2 Fa 5.0002;;Bakkum XXXVIII;;;;;;;;;;;;
TM 145777;CIE 08920;ET1 Fa S.0004;ET2 Fa S.0004;;Bakkum XLI;;;;;;;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. Bakkum. (2);;;
TM 173968;CIE 08921;;ET2 Fa 2.0034;;;;;;;;;;;;;;
TM 173966;CIE 08922;;ET2 Fa 2.0032;;;;;;;;CII 2455;;;;;CII Burman;
TM 145751;CIE 08923;ET1 Fa 2.0021;ET2 Fa 2.0021;;;;;;;;;;;;;;
TM 173975;CIE 08924;;ET2 Fa 0.0015;;;;;;;;;;;;;;
TM 145760;CIE 08925;ET1 Fa 3.0004;ET2 Fa 3.0004;;Bakkum XLII;;;;;;;;;;;;
TM 173964;CIE 08926;ET1 Sa 0.0001;ET2 Fa 2.0030;;;;;;;;CII 2177;;;;"ET2 reference corresponding to ET1 erroneously not given in conspectus editionum (Meiser 2014: 62-65); ET1/ET2 relationship given according to note column.";;
TM 173976;CIE 08927;;ET2 Fa 0.0016;;;;;;;;;;;;;;
TM 146553;CIE 10001;ET1 Ta 2.0005;ET2 Ta 2.0005;TLE 0154;;;;;;;CII 2333 ter;;CII App. 0834;;;;
TM 146786;CIE 10002;ET1 Ta S.0012;ET2 Ta S.0012;;;;;;;;CII 2277 bis A;;;;;;
TM 146590;CIE 10003;ET1 Ta 2.0042;ET2 Ta 2.0042;;;;;;;;;;;;;;
;CIE 10004;;;;;;;;;;;;;;One character. ;;
;CIE 10005;;;;;;;;;;;;;;Two characters.;;
TM 146616;CIE 10006;ET1 Ta 4.0014;ET2 Ta 4.0014;;;;;;;;;;;;;;
TM 146600;CIE 10007;ET1 Ta 3.0006;ET2 Ta 3.0006;TLE 0149;;;;;;;;;;;;;
TM 146636;CIE 10008;ET1 Ta 6.0015;ET2 Ta 6.0015;;;;;;;;;;;;;;
TM 146637;CIE 10009;ET1 Ta 6.0016;ET2 Ta 6.0016;;;;;;;;;;;;;;
TM 146591;CIE 10010;ET1 Ta 2.0043;ET2 Ta 2.0043;;;;;;;;;;;;;;
;CIE 10011;;;;;;;;;;;;;;Fragmentary.;;
TM 146599;CIE 10012;ET1 Ta 3.0005;ET2 Ta 3.0005;TLE 0898;;;;;;;;;;;;;
;CIE 10013;;;;;;;;;;;;;;One character. ;;
TM 145388;CIE 10014;ET1 Ta 0.0026;ET2 Ta 0.0026;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE [4]. ET2 [2]. (4);;;
TM 145388;CIE 10014;ET1 Ta X.0001;ET2 Ta 0.0026;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE [4]. ET1 [2]. ET2 [2]. (4);;;
TM 145388;CIE 10014;ET1 Ta 6.0017;ET2 Ta 6.0017;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE [4]. ET2 [2]. (4);;;
TM 145388;CIE 10014;ET1 Ta X.0001;ET2 Ta 6.0017;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE [4]. ET1 [2]. ET2 [2]. (4);;;
;CIE 10015;;;;;;;;;;;;;;One character. ;;
TM 146550;CIE 10016;ET1 Ta 2.0002;ET2 Ta 2.0002;;;;;;;;;;;;;;
TM 145383;CIE 10017;ET1 Ta 6.0001;ET2 Ta 6.0001;TLE 0155;;;;;;;;;;;;;
;CIE 10018;;;;;;;;;;;;;;Four characters.;;
;CIE 10019;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146554;CIE 10020;ET1 Ta 2.0006;ET2 Ta 2.0006;;;;;;;;;;;;;;
TM 146596;CIE 10021;ET1 Ta 3.0002;ET2 Ta 3.0002;TLE 0156;;;;;;;;CII Suppl. III.0356;;;;;
TM 146753;CIE 10022;ET1 Ta 0.0014;ET2 Ta 0.0014;;;;;;;;;;;;;;
;CIE 10023;;;;;;;;;;;;;;One character. ;;
TM 146565;CIE 10024;ET1 Ta 2.0017;ET2 Ta 2.0017;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146566;CIE 10025;ET1 Ta 2.0018;ET2 Ta 2.0018;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146567;CIE 10026;ET1 Ta 2.0019;ET2 Ta 2.0019;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146568;CIE 10027;ET1 Ta 2.0020;ET2 Ta 2.0020;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146569;CIE 10028;ET1 Ta 2.0021;ET2 Ta 2.0021;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146570;CIE 10029;ET1 Ta 2.0022;ET2 Ta 2.0022;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146571;CIE 10030;ET1 Ta 2.0023;ET2 Ta 2.0023;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146572;CIE 10031;ET1 Ta 2.0024;ET2 Ta 2.0024;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146573;CIE 10032;ET1 Ta 2.0025;ET2 Ta 2.0025;;;;;;;;;;CII App. 0815 [?];Multiple references. Common denominator: CII App. (9);It is unclear to which inscription this CII App. reference corresponds.;;
TM 146790;CIE 10033;ET1 Ta G.0002;ET2 Ta G.0002;;;;;;;;;;;;;;
TM 146791;CIE 10034;ET1 Ta G.0003;ET2 Ta G.0003;;;;;;;;;;;;;;
;CIE 10035;;;;;;;;;;;;CII App. 0816;;No proper reading given (see CIE).;;v 1.0.1: added notes. 
TM 146795;CIE 10036;ET1 Ta G.0007;ET2 Ta G.0007;;;;;;;;;;;;;;
TM 146574;CIE 10037;ET1 Ta 2.0026;ET2 Ta 2.0026;;;;;;;;;;CII App. 0814;;;;
TM 146776;CIE 10038;ET1 Ta S.0002;ET2 Ta S.0002;;;;;;;;;CII Suppl. I.0396;;;;;
TM 146780;CIE 10039;ET1 Ta S.0006;ET2 Ta S.0006;;;;;;;;;;CII App. 0770;;;;
TM 146779;CIE 10040;ET1 Ta S.0005;ET2 Ta S.0005;;;;;;;;;;;;;;
TM 146784;CIE 10041;ET1 Ta S.0010;ET2 Ta S.0010;;;;;;;;;CII Suppl. I.0395;;;;;
;CIE 10042;;;;;;;;;;;;;;Not described in CIE.;;v 1.0.1: added notes. 
;CIE 10043;;;;;;;;;;;;;;One character. ;;
;CIE 10044;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146588;CIE 10045;ET1 Ta 2.0040;ET2 Ta 2.0040;;;;;;;;;;;;;;
;CIE 10046;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10047;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10048;;;;;;;;;;;;;;One character. ;;
;CIE 10049;;;;;;;;;;;;;;One character. ;;
TM 146564;CIE 10050;ET1 Ta 2.0016;ET2 Ta 2.0016;;;;;;;;;;;;;;
;CIE 10051;;;;;;;;;;;;;;Two characters.;;
;CIE 10052;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10053;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10054;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10055;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10056;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10057;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10058;;;;;;;;;;;;;;One character. ;;
;CIE 10059;;;;;;;;;;;;;;;;
TM 146575;CIE 10060;ET1 Ta 2.0027;ET2 Ta 2.0027;;;;;;;;;;;;;;
;CIE 10061;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10062;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10063;;;;;;;;;;;;;;One character. ;;
;CIE 10064;;;;;;;;;;;;;;One character. ;;
;CIE 10065;;;;;;;;;;;;;;One character. ;;
;CIE 10066;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10067;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10068;;;;;;;;;;;;;;Two characters.;;
;CIE 10069;;;;;;;;;;;;;;Two characters.;;
TM 146558;CIE 10070;ET1 Ta 2.0010;ET2 Ta 2.0010;;;;;;;;;;;;;;
;CIE 10071;;;;;;;;;;;;;;One character. ;;
;CIE 10072;;;;;;;;;;;;;;One character. ;;
;CIE 10073;;;;;;;;;;;;;;One character. ;;
;CIE 10074;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10075;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10076;;;;;;;;;;;;;;One character. ;;
;CIE 10077;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10078;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10079;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10080;;;;;;;;;;;;;;One character. ;;
;CIE 10081;;;;;;;;;;;;;;One character. ;;
TM 146632;CIE 10082;ET1 Ta 6.0011;ET2 Ta 6.0011;;;;;;;;;;;;;;
;CIE 10083;;;;;;;;;;;;;;Two characters.;;
;CIE 10084;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10085;;;;;;;;;;;;;;One character. ;;
;CIE 10086–CIE 10087;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10088;;;;;;;;;;;;;;Three characters.;;
TM 146581;CIE 10089;ET1 Ta 2.0033;ET2 Ta 2.0033;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
TM 146581;CIE 10089;ET1 Ta 2.0034;ET2 Ta 2.0034;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
;CIE 10090;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10091;;;;;;;;;;;;;;Two characters.;;
;CIE 10092;;;;;;;;;;;;;;One character. ;;
;CIE 10093;;;;;;;;;;;;;;One character. ;;
;CIE 10094;;;;;;;;;;;;;;One character. ;;
;CIE 10095;;;;;;;;;;;;;;One character. ;;
;CIE 10096;;;;;;;;;;;;;;Two characters.;;
;CIE 10097;;;;;;;;;;;;;;One character. ;;
;CIE 10098;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10099;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10100;;;;;;;;;;;;;;Two characters.;;
;CIE 10101;;;;;;;;;;;;;;One character. ;;
;CIE 10102;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10103;;;;;;;;;;;;;;One character. ;;
;CIE 10104;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10105;;;;;;;;;;;;;;One character. ;;
;CIE 10106;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10107;;;;;;;;;;;;;;Two characters.;;
;CIE 10108;;;;;;;;;;;;;;Two characters.;;
;CIE 10109;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10110;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146586;CIE 10111;ET1 Ta 2.0038;ET2 Ta 2.0038;;;;;;;;;;;;;;
;CIE 10112;;;;;;;;;;;;;;One character. ;;
;CIE 10113;;;;;;;;;;;;;;One character. ;;
;CIE 10114;;;;;;;;;;;;;;Two characters.;;
;CIE 10115;;;;;;;;;;;;;;One character. ;;
;CIE 10116;;;;;;;;;;;;;;Two characters.;;
;CIE 10117;;;;;;;;;;;;;;One character. ;;
;CIE 10118;;;;;;;;;;;;;;One character. ;;
;CIE 10119;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146577;CIE 10120;ET1 Ta 2.0029;ET2 Ta 2.0029;;;;;;;;;;;;;;
;CIE 10121;;;;;;;;;;;;;;One character. ;;
;CIE 10122;;;;;;;;;;;;;;One character. ;;
;CIE 10123;;;;;;;;;;;;;;One character. ;;
TM 146580;CIE 10124;ET1 Ta 2.0032;ET2 Ta 2.0032;;;;;;;;;;;;;;
;CIE 10125;;;;;;;;;;;;;;One character. ;;
;CIE 10126;;;;;;;;;;;;;;One character. ;;
;CIE 10127;;;;;;;;;;;;;;One character. ;;
;CIE 10128;;;;;;;;;;;;;;One character. ;;
;CIE 10129;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10130;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10131;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10132;;;;;;;;;;;;;;One character. ;;
;CIE 10133;;;;;;;;;;;;;;"Latin; does not appear in CIL. ";;
;CIE 10134;;;;;;;;;;;;;;Two characters.;;
TM 146585;CIE 10135;ET1 Ta 2.0037;ET2 Ta 2.0037;;;;;;;;;;;;;;
TM 146633;CIE 10136;ET1 Ta 6.0012;ET2 Ta 6.0012;;;;;;;;;CII Suppl. I.0440;;;;;
TM 146634;CIE 10137;ET1 Ta 6.0013;ET2 Ta 6.0013;;;;;;;;;;;;;;
TM 146739;CIE 10138;ET1 Ta 8.0003;ET2 Ta 8.0003;TLE 0157;;;;;;;;;;;;;
TM 146624;CIE 10139;ET1 Ta 6.0003;ET2 Ta 6.0003;;;;;;;;;;;;;;
TM 146625;CIE 10140;ET1 Ta 6.0004;ET2 Ta 6.0004;;;;;;;;;;;;;;
TM 146626;CIE 10141;ET1 Ta 6.0005;ET2 Ta 6.0005;;;;;;;;;;;;;;
TM 146627;CIE 10142;ET1 Ta 6.0006;ET2 Ta 6.0006;;;;;;;;;;;;;;
TM 146628;CIE 10143;ET1 Ta 6.0007;ET2 Ta 6.0007;;;;;;;;;;;;;;
TM 146629;CIE 10144;ET1 Ta 6.0008;ET2 Ta 6.0008;;;;;;;;;;;;;;
;CIE 10145;;;;;;;;;;;;;;One character. ;;
;CIE 10146;;;;;;;;;;;;;;Two characters.;;
;CIE 10147;;;;;;;;;;;;;;One character. ;;
TM 146589;CIE 10148;ET1 Ta 2.0041;ET2 Ta 2.0041;;;;;;;;;;;;;;
;CIE 10149;;;;;;;;;;;;;;Two characters.;;
TM 146594;CIE 10150;ET1 Ta 2.0046;ET2 Ta 2.0046;;;;;;;;;;;;;;
TM 146635;CIE 10151;ET1 Ta 6.0014;ET2 Ta 6.0014;;;;;;;CIL XI.6717(11);;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;v 1.0.3: added information to the “multiple references” field.
TM 146635;CIE 10151;ET1 Ta 6.0014;ET2 Ta 6.0014;;;;;;;CIL XI.8130(2);;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;v 1.0.3: added row (new CIL XI reference). 
TM 146761;CIE 10152;ET1 Ta 0.0022;ET2 Ta 0.0022;TLE 0899;;;;;;CIL XI.6716(102);;;CII App. 0774;;;;
TM 145387;CIE 10153;ET1 Ta 0.0001;ET2 Ta 0.0001;TLE 0152;;;;;;;;;;;;;
TM 146593;CIE 10154;ET1 Ta 2.0045;ET2 Ta 2.0045;;;;;;;;CII 2333 bis;;;;;CII Burman;
TM 146587;CIE 10155;ET1 Ta 2.0039;ET2 Ta 2.0039;;;;;;;;;;;;;;
;CIE 10156;;;;;;;;;;;;;;Two characters.;;
;CIE 10157;;;;;;;;;;;;;;Two characters.;;
;CIE 10158;;;;;;;;;;;;;;One character. ;;
TM 145380;CIE 10159;ET1 Ta 3.0001;ET2 Ta 3.0001;;;;;;;;;;;;;;
;CIE 10160;;;;;;;;;;;CII Suppl. II.0122 bis;;;;;
TM 145379;CIE 10161;ET1 Ta 2.0001;ET2 Ta 2.0001;TLE 0151;;;;;;;;;;;;;
TM 145393;CIE 10162;ET1 AT 3.0001;ET2 AT 3.0001;TLE 0153;;;;;;;;;CII App. 0771;;;;
TM 146623;CIE 10163;ET1 Ta 6.0002;ET2 Ta 6.0002;;;;;;;;;;;;;;
;CIE 10164;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10165;;;;;;;;;;;;;;One character. ;;
;CIE 10166;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10167;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10168;;;;;;;;;;;;;;One character. ;;
;CIE 10169;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10170;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10171;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10172;;;;;;;;;;;;;;Two characters.;;
;CIE 10173;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146741;CIE 10174;ET1 Ta 0.0002;ET2 Ta 0.0002;;;;;;;;;;;;;;
;CIE 10175;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10176;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 146604;CIE 10177;ET1 Ta 4.0002;ET2 Ta 4.0002;;;;;;;;;;;;;;
;CIE 10178;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10179;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10180;;;;;;;;;;;;;;One character. ;;
;CIE 10181;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10182;;;;;;;;;;;;;;One character. ;;
;CIE 10183;;;;;;;;;;;;;;Fragmentary.;;
;CIE 10184;;;;;;;;;;;;;;Two characters.;;
;CIE 10185;;;;;;;;;;;;;;One character. ;;
TM 146563;CIE 10186;ET1 Ta 2.0015;ET2 Ta 2.0015;;;;;;;;CII 2340 ter;;;;;;
TM 146561;CIE 10187;ET1 Ta 2.0013;ET2 Ta 2.0013;;;;;;;;;;;;;;
TM 146562;CIE 10188;ET1 OA 2.0038;ET2 Ta 2.0014;;;;;;;;;;;;;;
;CIE 10189;;;;;;;;;;;;;;Two characters.;;
;CIE 10190;;;;;;;;;;;;;;One character. ;;
;CIE 10191;;;;;;;;;;;;;;One character. ;;
;CIE 10192;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145390;CIE 10193;ET1 Ta G.0001;ET2 Ta G.0001;;;;;;;;CII 2516;;;;;;
TM 146794;CIE 10194;ET1 Ta G.0006;ET2 Ta G.0006;;;;;;;;;;;;;;
TM 146793;CIE 10195;ET1 Ta G.0005;ET2 Vs G.0003;;;;;;;;;;;;;;
;CIE 10196;;;;;;;;;;;;;;Two characters.;;
;CIE 10197;;;;;;;;;;;;;;Two characters.;;
TM 145389;CIE 10198;ET1 Ta S.0001;ET2 Ta S.0001;;;;;;;;;;;;;;
TM 146787;CIE 10199;ET1 Ta S.0013;ET2 Ta S.0013;;;;;;;;;;;;;;
TM 146778;CIE 10200;ET1 Ta S.0004;ET2 Ta S.0004;;;;;;;;;CII Suppl. II.0131;;;;;
TM 146785;CIE 10201;ET1 Ta S.0011;ET2 Ta S.0011;;;;;;;;CII 2277 bis B;;;;;;
TM 146782;CIE 10202;ET1 Ta S.0008;ET2 Ta S.0008;;;;;;;;;CII Suppl. I.0394;;;;;
TM 146783;CIE 10203;ET1 Ta S.0009;ET2 Ta S.0009;;;;;;;;;;;;;;
TM 146777;CIE 10204;ET1 Ta S.0003;ET2 Ta S.0003;;;;;;;;;;;;;;
TM 146781;CIE 10205;ET1 Ta S.0007;ET2 Ta S.0007;;;;;;;;CII 2277;;;;;;
TM 146788;CIE 10206;ET1 Ta S.0014;ET2 Ta S.0014;;;;;;;;;;CII App. 0772;;;;
TM 146789;CIE 10207;ET1 Ta S.0015;ET2 Ta S.0015;;;;;;;;;;CII App. 0773;;;;
;CIE 10208;;;;;;;;;;;;CII App. 0806;;Two characters.;;
TM 146584;CIE 10209;ET1 Ta 2.0036;ET2 Ta 2.0036;;;;;;;;;;;;;;
TM 146579;CIE 10210;ET1 Ta 2.0031;ET2 Ta 2.0031;;;;;;;;;;;;;;
;CIE 10211;;;;;;;;;;;;;;Latin script (see CIE).;;v 1.0.1: added notes. 
;CIE 10212;;;;;;;;;;;;;;Three characters.;;
TM 146631;CIE 10213;ET1 Ta 6.0010;ET2 Ta 6.0010;;;;;;;;;;;;Three characters.;;
;CIE 10214 a;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 10214 b;;;;;;;;;;;;;;One character. ;;
;CIE 10215;;;;;;;;;;;;;;One character. ;;
;CIE 10216;;;;;;;;;;;;;;Two characters.;;
;CIE 10217;;;;;;;;;;;;;;Possibly Greek (see CIE).;;
;CIE 10218;;;;;;;;;;;;;;One character. ;;
;CIE 10219;;;;;;;;;;;;;;One character. ;;
;CIE 10220;;;;;;;;;;;;;;Two characters.;;
;CIE 10221;;;;;;;;;;;;;;Two characters.;;
;CIE 10222;;;;;;;;;;;;;;One character. ;;
TM 146595;CIE 10223;ET1 Ta 2.0047;ET2 Ta 2.0047;;;;;;;;;CII Suppl. I.0439;;;;;
